name,company,year,Price,kms_driven,fuel_type
HyundaiSantroXing,Hyundai,2007,80000,45000,Petrol
MahindraJeepCL550,Mahindra,2006,425000,40,Diesel
HyundaiGrandi10,Hyundai,2014,325000,28000,Petrol
FordEcoSportTitanium,Ford,2014,575000,36000,Diesel
FordFigo,Ford,2012,175000,41000,Diesel
HyundaiEon,Hyundai,2013,190000,25000,Petrol
FordEcoSportAmbiente,Ford,2016,830000,24530,Diesel
MarutiSuzukiAlto,Maruti,2015,250000,60000,Petrol
SkodaFabiaClassic,Skoda,2010,182000,60000,Petrol
MarutiSuzukiStingray,Maruti,2015,315000,30000,Petrol
HyundaiElitei20,Hyundai,2014,415000,32000,Petrol
MahindraScorpioSLE,Mahindra,2015,320000,48660,Diesel
HyundaiSantroXing,Hyundai,2007,80000,45000,Petrol
MahindraJeepCL550,Mahindra,2006,425000,40,Diesel
AudiA8,Audi,2017,1000000,4000,Petrol
AudiQ7,Audi,2014,500000,16934,Diesel
MahindraScorpioS10,Mahindra,2016,350000,43000,Diesel
MarutiSuzukiAlto,Maruti,2014,160000,35550,Petrol
MahindraScorpioS10,Mahindra,2016,350000,43000,Diesel
MahindraScorpioS10,Mahindra,2016,310000,39522,Diesel
MarutiSuzukiAlto,Maruti,2015,75000,39000,Petrol
Hyundaii20Sportz,Hyundai,2012,100000,55000,Petrol
Hyundaii20Sportz,Hyundai,2012,100000,55000,Petrol
Hyundaii20Sportz,Hyundai,2012,100000,55000,Petrol
MarutiSuzukiAlto,Maruti,2017,190000,72000,Petrol
MarutiSuzukiVitara,Maruti,2016,290000,15975,Diesel
MarutiSuzukiAlto,Maruti,2008,95000,70000,Petrol
MahindraBoleroDI,Mahindra,2017,180000,23452,Diesel
MarutiSuzukiSwift,Maruti,2014,385000,35522,Diesel
MahindraScorpioS10,Mahindra,2015,250000,48508,Diesel
MarutiSuzukiSwift,Maruti,2017,180000,15487,Petrol
MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
ToyotaInnova2.0,Toyota,2012,650000,82000,Diesel
RenaultLodgy85,Renault,2018,689999,20000,Diesel
SkodaYetiAmbition,Skoda,2012,448000,68000,Diesel
MarutiSuzukiBaleno,Maruti,2017,549000,32000,Diesel
RenaultDuster110,Renault,2012,501000,38000,Diesel
RenaultDuster85,Renault,2013,489999,27000,Diesel
HondaCity1.5,Honda,2011,280000,33000,Petrol
MarutiSuzukiAlto,Maruti,2015,250000,60000,Petrol
MarutiSuzukiDzire,Maruti,2013,349999,46000,Diesel
HondaAmaze,Honda,2013,284999,46000,Diesel
HondaAmaze1.5,Honda,2015,345000,36000,Diesel
HondaCity,Honda,2015,499999,55000,Petrol
DatsunRediGO,Datsun,2017,235000,16000,Petrol
MarutiSuzukiSX4,Maruti,2010,249999,36000,Petrol
MitsubishiPajeroSport,Mitsubishi,2015,1475000,47000,Diesel
MahindraBoleroDI,Mahindra,2017,180000,23452,Diesel
MarutiSuzukiSwift,Maruti,2014,385000,35522,Diesel
MahindraScorpioS10,Mahindra,2015,250000,48508,Diesel
MarutiSuzukiSwift,Maruti,2017,180000,15487,Petrol
MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
MarutiSuzukiWagon,Maruti,2013,105000,39000,Petrol
MahindraScorpioS10,Mahindra,2015,395000,35000,Diesel
MarutiSuzukiSwift,Maruti,2017,220000,30874,Petrol
HondaCityZX,Honda,2017,170000,15000,Diesel
MarutiSuzukiWagon,Maruti,2013,85000,29685,Petrol
FordFigo,Ford,2012,175000,41000,Diesel
HyundaiEon,Hyundai,2013,190000,25000,Petrol
TataIndigoeCS,Tata,2017,200000,130000,Diesel
FordEcoSportAmbiente,Ford,2016,830000,24530,Diesel
TataIndigoeCS,Tata,2017,200000,130000,Diesel
MahindraScorpioSLE,Mahindra,2012,570000,19000,Diesel
VolkswagenPoloHighline,Volkswagen,2014,315000,60000,Petrol
SkodaFabiaClassic,Skoda,2010,182000,60000,Petrol
MarutiSuzukiStingray,Maruti,2015,315000,30000,Petrol
ChevroletSparkLS,Chevrolet,2010,110000,41000,Petrol
RenaultDuster110PS,Renault,2012,501000,35000,Diesel
HondaCity,Honda,2015,448999,54000,Petrol
MiniCooperS,Mini,2013,1891111,13000,Petrol
